Section|Title|Content
[Section 2-101| Short Title|This Article shall be known and may be cited as Uniform Commercial Code-Sales.PART 1. SHORT TITLE, GENERAL CONSTRUCTION AND SUBJECT MATTERUpSection 2-102. Scope; Certain Security and Other Transactions Excluded From This Article.]
[Section 2-102| Scope; Certain Security and Other Transactions Excluded From This Article|Unless the context otherwise requires, this Article applies to transactions ingoods; it does not apply to any transaction which although in the form of an unconditionalcontractto sell orpresent saleis intended to operate only as a security transaction nor does this Article impair or repeal any statute regulatingsalesto consumers, farmers or other specified classes ofbuyers.Section 2-101. Short Title.UpSection 2-103. Definitions and Index of Definitions.]
[Section 2-103| Definitions and Index of Definitions|(1) In this Article unless the context otherwise requires(a)"Buyer" means a person who buys orcontractsto buygoods.(b)"Good faith" in the case of amerchantmeans honesty in fact and the observance of reasonable commercial standards of fair dealing in the trade.(c)"Receipt" ofgoodsmeans taking physical possession of them.(d)"Seller" means a person who sells orcontractsto sellgoods.(2) Other definitions applying to this Article or to specified Parts thereof, and the sections in which they appear are:"Acceptance". Section2-606."Banker\'s credit". Section2-325."Between Merchants". Section2-104."Cancellation". Section2-106(4)."Commercial unit". Section2-105."Confirmed credit". Section2-325."Conforming to contract". Section2-106."Contract for sale". Section2-106."Cover". Section2-712."Entrusting". Section2-403."Financing agency". Section2-104."Future Goods". Section2-105."Goods". Section2-105."Identification". Section2-501."Installment contract". Section2-612."Letter of Credit". Section2-325."Lot". Section2-105."Merchant". Section2-104."Overseas". Section2-323."Person in position of Seller". Section2-707."Present sale". Section2-106."Sale". Section2-106."Sale on approval". Section2-326."Sale or return". Section2-326."Termination". Section2-106.(3) The following definitions in other Articles apply to this Article:"Check". Section3-104."Consignee". Section7-102."Consignor". Section7-102."Consumer Goods". Section9-109."Dishonor". Section3-507."Draft". Section3-104.(4) In addition Article 1 contains general definitions and principles of construction and interpretation applicable throughout this Article.Section 2-102. Scope; Certain Security and Other Transactions Excluded From This Article.UpSection 2-104. Definitions: "Merchant"; "Between Merchants"; "Financing Agency".]
[Section 2-104| Definitions: "Merchant"; "Between Merchants"; "Financing Agency"|(1)"Merchant" means a person who deals ingoodsof the kind or otherwise by his occupation holds himself out as having knowledge or skill peculiar to the practices or goods involved in the transaction or to whom such knowledge or skill may be attributed by his employment of an agent or broker or other intermediary who by his occupation holds himself out as having such knowledge or skill.(2)"Financing agency" means a bank, finance company or other person who in the ordinary course of business makes advances againstgoodsor documents of title or who by arrangement with either theselleror thebuyerintervenes in ordinary course to make or collect payment due or claimed under thecontract for sale, as by purchasing or paying the seller\'s draft or making advances against it or by merely taking it for collection whether or not documents of title accompany the draft. "Financing agency" includes also a bank or other person who similarly intervenes between persons who are in the position of seller and buyer in respect to the goods (Section2-707).(3)"Between Merchants" means in any transaction with respect to which both parties are chargeable with the knowledge or skill ofmerchants.Section 2-103. Definitions and Index of Definitions.UpSection 2-105. Definitions: Transferability; "Goods"; "Future" Goods; "Lot"; "Commercial Unit".]
[Section 2-105| Definitions: Transferability; "Goods"; "Future" Goods; "Lot"; "Commercial Unit"|(1)"Goods" means all things (including specially manufactured goods) which are movable at the time of identification to thecontract for saleother than the money in which the price is to be paid, investment securities (Article 8) and things in action. "Goods" also includes the unborn young of animals and growing crops and other identified things attached to realty as described in the section on goods to be severed from realty (Section2-107).(2) Goods must be both existing and identified before any interest in them can pass. Goods which are not both existing and identified are "future" goods. A purportedpresent saleof future goods or of any interest therein operates as acontractto sell.(3) There may be asaleof a part interest in existing identified goods.(4) An undivided share in an identified bulk of fungible goods is sufficiently identified to be sold although the quantity of the bulk is not determined. Any agreed proportion of such a bulk or any quantity thereof agreed upon by number, weight or other measure may to the extent of theseller\'sinterest in the bulk be sold to thebuyerwho then becomes an owner in common.(5)"Lot" means a parcel or a single article which is the subject matter of a separatesaleor delivery, whether or not it is sufficient to perform thecontract.(6)"Commercial unit" means such a unit ofgoodsas by commercial usage is a single whole for purposes ofsaleand division of which materially impairs its character or value on the market or in use. A commercial unit may be a single article (as a machine) or a set of articles (as a suite of furniture or an assortment of sizes) or a quantity (as a bale, gross, or carload) or any other unit treated in use or in the relevant market as a single whole.Section 2-104. Definitions: "Merchant"; "Between Merchants"; "Financing Agency".UpSection 2-106. Definitions: "Contract"; "Agreement"; "Contract for sale"; "Sale"; "Present sale"; "Conforming" to Contract; "Termination"; "Cancellation".]
[Section 2-106| Definitions: "Contract"; "Agreement"; "Contract for sale"; "Sale"; "Present sale"; "Conforming" to Contract; "Termination"; "Cancellation"|(1) In this Article unless the context otherwise requires"contract" and"agreement" are limited to those relating to the present or futuresaleofgoods."Contract for sale" includes both a present sale of goods and acontractto sell goods at a future time. A"sale" consists in the passing of title from thesellerto thebuyerfor a price (Section2-401). A"present sale" means a sale which is accomplished by the making of the contract.(2)Goodsor conduct including any part of a performance are"conforming" or conform to thecontractwhen they are in accordance with the obligations under the contract.(3)"Termination" occurs when either party pursuant to a power created byagreementor law puts an end to thecontractotherwise than for its breach. On "termination" all obligations which are still executory on both sides are discharged but any right based on prior breach or performance survives.(4)"Cancellation" occurs when either party puts an end to thecontractfor breach by the other and its effect is the same as that of "termination" except that the cancelling party also retains any remedy for breach of the whole contract or any unperformed balance.Section 2-105. Definitions: Transferability; "Goods"; "Future" Goods; "Lot"; "Commercial Unit".UpSection 2-107. Goods to Be Severed From Realty: Recording.]
[Section 2-107| Goods to Be Severed From Realty: Recording|(1) Acontractfor thesaleof minerals or the like (including oil and gas) or a structure or its materials to be removed from realty is a contract for the sale ofgoodswithin this Article if they are to be severed by thesellerbut until severance a purportedpresent salethereof which is not effective as a transfer of an interest in land is effective only as a contract to sell.(2) Acontractfor thesaleapart from the land of growing crops or other things attached to realty and capable of severance without material harm thereto but not described in subsection (1) or of timber to be cut is a contract for the sale ofgoodswithin this Article whether the subject matter is to be severed by thebuyeror by thesellereven though it forms part of the realty at the time of contracting, and the parties can by identification effect apresent salebefore severance.(3) The provisions of this section are subject to any third party rights provided by the law relating to realty records, and thecontract for salemay be executed and recorded as a document transferring an interest in land and shall then constitute notice to third parties of thebuyer\'srights under the contract for sale.[Note:As amended in 1972.]Section 2-106. Definitions: "Contract"; "Agreement"; "Contract for sale"; "Sale"; "Present sale"; "Conforming" to Contract; "Termination"; "Cancellation".UpPART 2. FORM, FORMATION AND READJUSTMENT OF CONTRACT]
[Section 2-201| Formal Requirements; Statute of Frauds|(1) Except as otherwise provided in this section acontractfor thesaleofgoodsfor the price of $500 or more is not enforceable by way of action or defense unless there is some writing sufficient to indicate that acontract for salehas been made between the parties and signed by the party against whom enforcement is sought or by his authorized agent or broker. A writing is not insufficient because it omits or incorrectly states a term agreed upon but the contract is not enforceable under this paragraph beyond the quantity ofgoodsshown in such writing.(2)Between merchantsif within a reasonable time a writing in confirmation of thecontractand sufficient against the sender is received and the party receiving it has reason to know its contents, it satisfies the requirements of subsection (1) against such party unless written notice of objection to its contents is given within 10 days after it is received.(3) Acontractwhich does not satisfy the requirements of subsection (1) but which is valid in other respects is enforceable(a) if thegoodsare to be specially manufactured for thebuyerand are not suitable forsaleto others in the ordinary course of theseller'sbusiness and the seller, before notice of repudiation is received and under circumstances which reasonably indicate that the goods are for the buyer, has made either a substantial beginning of their manufacture or commitments for their procurement; or(b) if the party against whom enforcement is sought admits in his pleading, testimony or otherwise in court that acontract for salewas made, but thecontractis not enforceable under this provision beyond the quantity ofgoodsadmitted; or(c) with respect togoodsfor which payment has been made and accepted or which have been received and accepted (Sec.2-606).PART 2. FORM, FORMATION AND READJUSTMENT OF CONTRACTUpSection 2-202. Final Written Expression: Parol or Extrinsic Evidence.]
[Section 2-202| Final Written Expression: Parol or Extrinsic Evidence|Terms with respect to which the confirmatory memoranda of the parties agree or which are otherwise set forth in a writing intended by the parties as a final expression of theiragreementwith respect to such terms as are included therein may not be contradicted by evidence of any prior agreement or of a contemporaneous oral agreement but may be explained or supplemented(a) by course of dealing or usage of trade (Section1-205) or by course of performance (Section2-208); and(b) by evidence of consistent additional terms unless the court finds the writing to have been intended also as a complete and exclusive statement of the terms of theagreement.Section 2-201. Formal Requirements; Statute of Frauds.UpSection 2-203. Seals Inoperative.]
[Section 2-203| Seals Inoperative|The affixing of a seal to a writing evidencing acontract for saleor an offer to buy or sellgoodsdoes not constitute the writing a sealed instrument and the law with respect to sealed instruments does not apply to such acontractor offer.Section 2-202. Final Written Expression: Parol or Extrinsic Evidence.UpSection 2-204. Formation in General.]
