Section|Content
Section 362|(1) Geht einem Kaufmanne, dessen Gewerbebetrieb die Besorgung von Geschäften für andere mit sich bringt, ein Antrag über die Besorgung solcher Geschäfte von jemand zu, mit dem er in Geschäftsverbindung steht, so ist er verpflichtet, unverzüglich zu antworten; sein Schweigen gilt als Annahme des Antrags. Das gleiche gilt, wenn einem Kaufmann ein Antrag über die Besorgung von Geschäften von jemand zugeht, dem gegenüber er sich zur Besorgung solcher Geschäfte erboten hat.(2) Auch wenn der Kaufmann den Antrag ablehnt, hat er die mitgesendeten Waren auf Kosten des Antragstellers, soweit er für diese Kosten gedeckt ist und soweit es ohne Nachteil für ihn geschehen kann, einstweilen vor Schaden zu bewahren.
Section 363|(1) Anweisungen, die auf einen Kaufmann über die Leistung von Geld, Wertpapieren oder anderen vertretbaren Sachen ausgestellt sind, ohne daß darin die Leistung von einer Gegenleistung abhängig gemacht ist, können durch Indossament übertragen werden, wenn sie an Order lauten. Dasselbe gilt von Verpflichtungsscheinen, die von einem Kaufmann über Gegenstände der bezeichneten Art an Order ausgestellt sind, ohne daß darin die Leistung von einer Gegenleistung abhängig gemacht ist.(2) Ferner können Konnossemente der Verfrachter, Ladescheine der Frachtführer, Lagerscheine sowie Transportversicherungspolicen durch Indossament übertragen werden, wenn sie an Order lauten.
Section 364|(1) Durch das Indossament gehen alle Rechte aus dem indossierten Papier auf den Indossatar über.(2) Dem legitimierten Besitzer der Urkunde kann der Schuldner nur solche Einwendungen entgegensetzen, welche die Gültigkeit seiner Erklärung in der Urkunde betreffen oder sich aus dem Inhalte der Urkunde ergeben oder ihm unmittelbar gegen den Besitzer zustehen.(3) Der Schuldner ist nur gegen Aushändigung der quittierten Urkunde zur Leistung verpflichtet.
Section 365|(1) In betreff der Form des Indossaments, in betreff der Legitimation des Besitzers und der Prüfung der Legitimation sowie in betreff der Verpflichtung des Besitzers zur Herausgabe, finden die Vorschriften der Artikel 13, 14 Absatz 2, Artikel 16 und 40 Absatz 3 Satz 2 des Wechselgesetzes entsprechende Anwendung.(2) Ist die Urkunde vernichtet oder abhanden gekommen, so unterliegt sie der Kraftloserklärung im Wege des Aufgebotsverfahrens. Ist das Aufgebotsverfahren eingeleitet, so kann der Berechtigte, wenn er bis zur Kraftloserklärung Sicherheit bestellt, Leistung nach Maßgabe der Urkunde von dem Schuldner verlangen.
Section 365a|Der Transportversicherungspolice nach § 363 Absatz 2 gleichgestellt ist eine elektronische Aufzeichnung, die dieselben Funktionen erfüllt wie die Transportversicherungspolice, sofern sichergestellt ist, dass die Authentizität und Integrität der Aufzeichnung gewahrt bleiben (elektronische Transportversicherungspolice). Das Bundesministerium der Justiz wird ermächtigt, im Einvernehmen mit dem Bundesministerium des Innern und für Heimat durch Rechtsverordnung, die nicht der Zustimmung des Bundesrates bedarf, die Einzelheiten der Ausstellung, Vorlage, Rückgabe und Übertragung einer elektronischen Transportversicherungspolice sowie die Einzelheiten des Verfahrens einer nachträglichen Eintragung in eine elektronische Transportversicherungspolice zu regeln.
Section 366|(1) Veräußert oder verpfändet ein Kaufmann im Betriebe seines Handelsgewerbes eine ihm nicht gehörige bewegliche Sache, so finden die Vorschriften des Bürgerlichen Gesetzbuchs zugunsten derjenigen, welche Rechte von einem Nichtberechtigten herleiten, auch dann Anwendung, wenn der gute Glaube des Erwerbers die Befugnis des Veräußerers oder Verpfänders, über die Sache für den Eigentümer zu verfügen, betrifft.(2) Ist die Sache mit dem Rechte eines Dritten belastet, so finden die Vorschriften des Bürgerlichen Gesetzbuchs zugunsten derjenigen, welche Rechte von einem Nichtberechtigten herleiten, auch dann Anwendung, wenn der gute Glaube die Befugnis des Veräußerers oder Verpfänders, ohne Vorbehalt des Rechtes über die Sache zu verfügen, betrifft.(3) Das gesetzliche Pfandrecht des Kommissionärs, des Frachtführers oder Verfrachters, des Spediteurs und des Lagerhalters steht hinsichtlich des Schutzes des guten Glaubens einem gemäß Absatz 1 durch Vertrag erworbenen Pfandrecht gleich. Satz 1 gilt jedoch nicht für das gesetzliche Pfandrecht an Gut, das nicht Gegenstand des Vertrages ist, aus dem die durch das Pfandrecht zu sichernde Forderung herrührt.
Section 367|(1) Wird ein Inhaberpapier, das dem Eigentümer gestohlen worden, verlorengegangen oder sonst abhanden gekommen ist, an einen Kaufmann, der Bankier- oder Geldwechslergeschäfte betreibt, veräußert oder verpfändet, so gilt dessen guter Glaube als ausgeschlossen, wenn zur Zeit der Veräußerung oder Verpfändung der Verlust des Papiers im Bundesanzeiger bekanntgemacht und seit dem Ablauf des Jahres, in dem die Veröffentlichung erfolgt ist, nicht mehr als ein Jahr verstrichen war. Für Veröffentlichungen vor dem 1. Januar 2007 tritt an die Stelle des Bundesanzeigers der Bundesanzeiger in Papierform. Inhaberpapieren stehen an Order lautende Anleiheschuldverschreibungen sowie Namensaktien und Zwischenscheine gleich, falls sie mit einem Blankoindossament versehen sind.(2) Der gute Glaube des Erwerbers wird durch die Veröffentlichung nach Absatz 1 nicht ausgeschlossen, wenn der Erwerber die Veröffentlichung infolge besonderer Umstände nicht kannte und seine Unkenntnis nicht auf grober Fahrlässigkeit beruht.(3) Auf Zins-, Renten- und Gewinnanteilscheine, die nicht später als in dem nächsten auf die Veräußerung oder Verpfändung folgenden Einlösungstermin fällig werden, auf unverzinsliche Inhaberpapiere, die auf Sicht zahlbar sind, und auf Banknoten sind diese Vorschriften nicht anzuwenden.
Section 368|(1) Bei dem Verkauf eines Pfandes tritt, wenn die Verpfändung auf der Seite des Pfandgläubigers und des Verpfänders ein Handelsgeschäft ist, an die Stelle der in § 1234 des Bürgerlichen Gesetzbuchs bestimmten Frist von einem Monat eine solche von einer Woche.(2) Diese Vorschrift ist auf das gesetzliche Pfandrecht des Kommissionärs, des Frachtführers oder Verfrachters, des Spediteurs und des Lagerhalters entsprechend anzuwenden, auf das Pfandrecht des Frachtführers, Verfrachters und Spediteurs auch dann, wenn nur auf ihrer Seite der Vertrag ein Handelsgeschäft ist.
Section 369|(1) Ein Kaufmann hat wegen der fälligen Forderungen, welche ihm gegen einen anderen Kaufmann aus den zwischen ihnen geschlossenen beiderseitigen Handelsgeschäften zustehen, ein Zurückbehaltungsrecht an den beweglichen Sachen und Wertpapieren des Schuldners, welche mit dessen Willen auf Grund von Handelsgeschäften in seinen Besitz gelangt sind, sofern er sie noch im Besitze hat, insbesondere mittels Konnossements, Ladescheins oder Lagerscheins darüber verfügen kann. Das Zurückbehaltungsrecht ist auch dann begründet, wenn das Eigentum an dem Gegenstande von dem Schuldner auf den Gläubiger übergegangen oder von einem Dritten für den Schuldner auf den Gläubiger übertragen, aber auf den Schuldner zurückzuübertragen ist.(2) Einem Dritten gegenüber besteht das Zurückbehaltungsrecht insoweit, als dem Dritten die Einwendungen gegen den Anspruch des Schuldners auf Herausgabe des Gegenstandes entgegengesetzt werden können.(3) Das Zurückbehaltungsrecht ist ausgeschlossen, wenn die Zurückbehaltung des Gegenstandes der von dem Schuldner vor oder bei der Übergabe erteilten Anweisung oder der von dem Gläubiger übernommenen Verpflichtung, in einer bestimmten Weise mit dem Gegenstande zu verfahren, widerstreitet.(4) Der Schuldner kann die Ausübung des Zurückbehaltungsrechts durch Sicherheitsleistung abwenden. Die Sicherheitsleistung durch Bürgen ist ausgeschlossen.
Section 371|(1) Der Gläubiger ist kraft des Zurückbehaltungsrechts befugt, sich aus dem zurückbehaltenen Gegenstande für seine Forderung zu befriedigen. Steht einem Dritten ein Recht an dem Gegenstande zu, gegen welches das Zurückbehaltungsrecht nach § 369 Abs. 2 geltend gemacht werden kann, so hat der Gläubiger in Ansehung der Befriedigung aus dem Gegenstande den Vorrang.(2) Die Befriedigung erfolgt nach den für das Pfandrecht geltenden Vorschriften des Bürgerlichen Gesetzbuchs. An die Stelle der in § 1234 des Bürgerlichen Gesetzbuchs bestimmten Frist von einem Monate tritt eine solche von einer Woche.(3) Sofern die Befriedigung nicht im Wege der Zwangsvollstreckung stattfindet, ist sie erst zulässig, nachdem der Gläubiger einen vollstreckbaren Titel für sein Recht auf Befriedigung gegen den Eigentümer oder, wenn der Gegenstand ihm selbst gehört, gegen den Schuldner erlangt hat; in dem letzteren Falle finden die den Eigentümer betreffenden Vorschriften des Bürgerlichen Gesetzbuchs über die Befriedigung auf den Schuldner entsprechende Anwendung. In Ermangelung des vollstreckbaren Titels ist der Verkauf des Gegenstandes nicht rechtmäßig.(4) Die Klage auf Gestattung der Befriedigung kann bei dem Gericht, in dessen Bezirke der Gläubiger seinen allgemeinen Gerichtsstand oder den Gerichtsstand der Niederlassung hat, erhoben werden.
